Date,Open,Close
2017-03-20,3.95048,4.03331
2017-03-21,4.03637,4.00922
2017-03-22,3.98735,3.93649
2017-03-23,3.93174,3.98003
2017-03-24,3.97307,4.08396
2017-03-25,4.07347,4.07062
2017-03-26,4.06615,4.06074
2017-03-27,4.06639,4.07528
2017-03-28,4.06968,4.15568
2017-03-29,4.14237,4.1859
2017-03-30,4.17891,6.98063
2017-03-31,7.01873,6.66706
2017-04-01,6.65316,6.88352
2017-04-02,6.86292,7.7445
2017-04-03,7.74462,8.07058
2017-04-04,8.11843,8.28936
2017-04-05,8.24728,11.094
2017-04-06,11.1231,10.2517
2017-04-07,10.2235,9.37156
2017-04-08,9.33604,9.91621
2017-04-09,9.88879,8.70985
2017-04-10,8.721,8.91704
2017-04-11,8.91162,8.85383
2017-04-12,8.83101,10.7856
2017-04-13,10.7644,10.1495
2017-04-14,10.1309,10.39
2017-04-15,10.3421,10.7946
2017-04-16,10.7455,10.7149
2017-04-17,10.5957,10.4216
2017-04-18,10.4189,10.3201
2017-04-19,10.3138,9.65808
2017-04-20,9.63475,10.3349
2017-04-21,10.2915,11.2278
2017-04-22,11.1766,13.0646
2017-04-23,13.0653,13.9391
2017-04-24,13.964,14.9655
2017-04-25,14.9787,15.2128
2017-04-26,15.2059,14.8481
2017-04-27,14.8436,14.622
2017-04-28,14.5931,14.3415
2017-04-29,14.397,15.7421
2017-04-30,15.7031,15.7056
2017-05-01,15.7081,15.9177
2017-05-02,15.9227,15.895
2017-05-03,15.8752,21.042601
2017-05-04,21.0445,23.3936
2017-05-05,23.471201,26.266899
2017-05-06,26.466801,28.1598
2017-05-07,28.2015,30.2911
2017-05-08,30.3724,28.9582
2017-05-09,28.964399,33.583
2017-05-10,33.2981,31.962099
2017-05-11,32.657101,30.717699
2017-05-12,30.931299,27.454901
2017-05-13,27.218901,28.912001
2017-05-14,29.09,28.893
2017-05-15,28.894501,25.365299
2017-05-16,25.337601,23.3277
2017-05-17,23.242399,25.4044
2017-05-18,25.1654,28.357599
2017-05-19,28.2871,27.6975
2017-05-20,27.681299,27.506001
2017-05-21,27.4762,26.298201
2017-05-22,26.1415,25.381001
2017-05-23,25.303499,32.112099
2017-05-24,32.1217,34.4534
2017-05-25,34.469002,29.9002
2017-05-26,30.3251,23.748301
2017-05-27,23.403099,23.7353
2017-05-28,24.007401,24.2206
2017-05-29,24.3249,25.2125
2017-05-30,25.318899,24.142
2017-05-31,24.293501,25.2976
2017-06-01,25.343901,28.8034
2017-06-02,28.897301,28.9447
2017-06-03,29.036301,27.660999
2017-06-04,27.650299,27.939301
2017-06-05,28.09,30.8433
2017-06-06,30.8407,30.551001
2017-06-07,30.568701,28.394699
2017-06-08,28.3813,30.211901
2017-06-09,30.1873,29.681601
2017-06-10,29.6845,30.4417
2017-06-11,30.5009,33.216301
2017-06-12,33.230499,29.5035
2017-06-13,29.4916,30.6429
2017-06-14,30.739,30.224701
2017-06-15,30.215401,30.2201
2017-06-16,30.2791,35.7005
2017-06-17,36.183899,47.645901
2017-06-18,47.4422,46.041599
2017-06-19,46.161999,50.3209
2017-06-20,50.409,47.2164
2017-06-21,47.2952,47.787498
2017-06-22,47.7188,47.712898
2017-06-23,47.747799,47.335499
2017-06-24,47.2467,44.491798
2017-06-25,44.4907,43.9244
2017-06-26,44.036999,41.131802
2017-06-27,41.131302,40.5415
2017-06-28,40.816002,42.849499
2017-06-29,42.830101,41.0653
2017-06-30,41.042999,40.354301
2017-07-01,40.404099,38.988201
2017-07-02,38.9492,41.5676
2017-07-03,41.4785,46.425201
2017-07-04,46.562599,55.3344
2017-07-05,55.274899,53.1945
2017-07-06,53.195499,51.130299
2017-07-07,51.101501,46.5755
2017-07-08,46.639301,52.1385
2017-07-09,52.363701,49.580502
2017-07-10,49.908798,46.576401
2017-07-11,46.2742,45.330799
2017-07-12,45.255901,48.751202
2017-07-13,48.7234,46.327801
2017-07-14,46.3592,42.8027
2017-07-15,42.805302,38.923901
2017-07-16,38.921001,40.912899
2017-07-17,41.189201,42.669701
2017-07-18,42.623001,44.302399
2017-07-19,44.347401,40.864399
2017-07-20,40.955399,45.015701
2017-07-21,45.068501,45.763
2017-07-22,45.772999,46.5583
2017-07-23,46.628201,44.055901
2017-07-24,44.159599,44.405499
2017-07-25,44.482899,42.241299
2017-07-26,42.287998,42.229698
2017-07-27,42.353199,42.139801
2017-07-28,42.216202,40.614601
2017-07-29,40.558899,41.115501
2017-07-30,41.184502,40.422001
2017-07-31,40.340302,43.022701
2017-08-01,43.019299,43.036301
2017-08-02,43.074902,42.132198
2017-08-03,42.193001,42.8615
2017-08-04,42.893501,43.449699
2017-08-05,43.486,46.859001
2017-08-06,46.845001,45.103001
2017-08-07,45.1717,45.795502
2017-08-08,45.898102,48.631901
2017-08-09,48.5867,48.011902
2017-08-10,48.0494,46.499802
2017-08-11,46.4049,47.0994
2017-08-12,47.050598,46.433899
2017-08-13,46.568699,45.812801
2017-08-14,45.832298,45.804501
2017-08-15,45.813499,43.306499
2017-08-16,43.371899,44.151199
2017-08-17,44.178799,43.9146
2017-08-18,43.897202,47.281399
2017-08-19,47.054298,45.48
2017-08-20,45.376202,46.230999
2017-08-21,46.1898,47.936001
2017-08-22,47.895199,46.7271
2017-08-23,46.7136,53.2481
2017-08-24,52.824402,50.1856
2017-08-25,50.172298,51.1768
2017-08-26,51.165798,51.749599
2017-08-27,51.804798,61.158798
2017-08-28,61.3634,62.355499
2017-08-29,62.3946,63.167
2017-08-30,63.163799,64.169296
2017-08-31,64.158203,71.055099
2017-09-01,70.856102,86.039703
2017-09-02,85.829903,79.0243
2017-09-03,78.979897,76.843002
2017-09-04,76.732101,65.205803
2017-09-05,65.251297,71.2948
2017-09-06,71.777298,80.114304
2017-09-07,79.877998,78.484299
2017-09-08,78.452797,67.7948
2017-09-09,67.2127,66.009102
2017-09-10,65.802803,61.613499
2017-09-11,61.646599,66.039902
2017-09-12,66.2388,64.233704
2017-09-13,64.321602,61.730099
2017-09-14,61.6422,41.5849
2017-09-15,41.685001,48.212601
2017-09-16,48.1334,48.258301
2017-09-17,48.2304,48.4902
2017-09-18,48.530201,55.525398
2017-09-19,55.683601,52.8353
2017-09-20,52.7449,51.733799
2017-09-21,51.663601,46.605801
2017-09-22,46.652699,48.090302
2017-09-23,48.157101,49.271599
2017-09-24,49.250099,47.618301
2017-09-25,47.6199,51.580101
2017-09-26,51.687901,51.546799
2017-09-27,51.576199,56.2831
2017-09-28,56.2122,54.085201
2017-09-29,54.109299,52.623001
2017-09-30,52.626499,55.142399
2017-10-01,55.1362,54.543301
2017-10-02,54.546902,53.375999
2017-10-03,53.3904,52.349602
2017-10-04,52.284302,51.399502
2017-10-05,51.401402,51.669498
2017-10-06,51.636002,52.120098
2017-10-07,52.137501,52.584
2017-10-08,52.4935,53.142601
2017-10-09,53.0825,50.164001
2017-10-10,50.154202,50.717098
2017-10-11,50.7533,50.887501
2017-10-12,50.8867,60.107601
2017-10-13,60.551899,59.428902
2017-10-14,59.405602,63.950199
2017-10-15,64.126602,65.4674
2017-10-16,65.7183,64.621902
2017-10-17,64.673203,59.479
2017-10-18,59.586899,60.730801
2017-10-19,60.8218,59.7397
2017-10-20,59.809799,60.330601
2017-10-21,60.303799,58.201801
2017-10-22,58.2719,56.807899
2017-10-23,56.770699,54.9202
2017-10-24,54.959499,55.9632
2017-10-25,55.951698,56.494301
2017-10-26,56.468601,55.737999
2017-10-27,55.6731,55.332401
2017-10-28,55.3843,54.693901
2017-10-29,54.6698,57.1064
2017-10-30,56.840199,56.390499
2017-10-31,56.365002,55.754101
2017-11-01,55.7407,53.180801
2017-11-02,53.5592,54.737301
2017-11-03,54.578201,56.1814
2017-11-04,56.2159,55.037201
2017-11-05,55.0257,54.746399
2017-11-06,54.759201,55.173698
2017-11-07,54.987701,61.2952
2017-11-08,61.112999,62.573101
2017-11-09,62.489601,64.269699
2017-11-10,64.436203,59.260101
2017-11-11,59.3489,62.303299
2017-11-12,62.3092,59.005402
2017-11-13,59.1758,61.3965
2017-11-14,61.642899,62.6796
2017-11-15,62.7752,63.823601
2017-11-16,63.809101,71.060204
2017-11-17,70.448402,67.569
2017-11-18,67.405197,69.6437
2017-11-19,69.511902,71.589302
2017-11-20,71.413002,72.2528
2017-11-21,72.1968,70.028297
2017-11-22,70.182198,71.892799
2017-11-23,71.975098,73.223396
2017-11-24,73.141899,77.9683
2017-11-25,77.908699,88.816902
2017-11-26,88.939301,85.926804
2017-11-27,85.889702,91.602699
2017-11-28,91.723999,96.033798
2017-11-29,96.012497,85.570999
2017-11-30,86.246696,88.330704
2017-12-01,88.003502,99.0037
2017-12-02,98.941498,100.283997
2017-12-03,100.195,101.263
2017-12-04,101.396004,104.236
2017-12-05,104.277,102.397003
2017-12-06,102.477997,100.351997
2017-12-07,99.9841,98.292397
2017-12-08,98.328102,124.846001
2017-12-09,127.478996,155.242004
2017-12-10,155.626999,148.660004
2017-12-11,148.257996,214.203003
2017-12-12,212.464005,316.158997
2017-12-13,315.362,302.60199
2017-12-14,301.197998,279.328003
2017-12-15,280.967987,299.778992
2017-12-16,299.337006,298.971985
2017-12-17,301.783997,318.718994
2017-12-18,318.953003,358.335999
2017-12-19,359.125,350.252991
2017-12-20,349.604004,314.621002
2017-12-21,314.660004,317.462006
2017-12-22,319.256989,264.932007
2017-12-23,269.266998,288.265991
2017-12-24,291.007996,275.980011
2017-12-25,277.493988,273.390015
2017-12-26,273.108002,286.503998
2017-12-27,286.588989,272.174011
2017-12-28,272.126007,249.929993
2017-12-29,250.352005,245.501999
2017-12-30,245.087006,218.962997
2017-12-31,216.975006,232.095993
2018-01-01,231.666,229.033005
2018-01-02,228.990005,255.684006
2018-01-03,255.695007,245.367996
2018-01-04,245.475006,241.369995
2018-01-05,241.033997,249.270996
2018-01-06,249.768005,296.45401
2018-01-07,296.053009,288.450989
2018-01-08,287.725006,255.763
2018-01-09,254.606003,247.037003
